Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
5,te_stridedsliced_4d6d2b473ebcfdc0ad56fa016cc74e10e167bce6000fdc30ca190cbefe43d0be__kernel0,AI_VECTOR_CORE,45,57,26.480,1785400772460302.685	,1785400772460329.165	
5,te_stridedsliced_e4938003b9ccef5b8c6c51b345e2e7eee30913c6bb15812e89d12fc6daf58444__kernel0,AI_VECTOR_CORE,45,58,26.000,1785400772460329.185	,1785400772460355.185	
5,te_stridedsliced_2eb6f0523a0fddf85d61b17fa1759d0e917906a42a651c2d721e8d25ea5d6db6__kernel0,AI_VECTOR_CORE,45,59,25.140,1785400772460355.205	,1785400772460380.345	
5,te_stridedsliced_98814fa0e85c4e2ce7684dcba6b63f9a11a7c7e93fa02cdf99d5f6c92bde8bcb__kernel0,AI_VECTOR_CORE,45,60,24.400,1785400772460380.365	,1785400772460404.765	
5,te_stridedsliced_c3f3f033dde8181620d136301eafb89854f052a9aad8746d7fbb3b3da8b56d2a__kernel0,AI_VECTOR_CORE,45,61,24.600,1785400772460404.785	,1785400772460429.385	
5,te_stridedsliced_7313dcf1fdd4e66723e30706b4b55852bf4c8ce091ff95a108ae35692b1ba395__kernel0,AI_VECTOR_CORE,45,62,26.440,1785400772460429.405	,1785400772460455.845	
5,te_stridedsliced_05990fb4d3232cb8ff24bee14eb9eb741c3670ceee5c5d7bb32d7a69a3289bd8__kernel0,AI_VECTOR_CORE,45,63,28.520,1785400772460455.865	,1785400772460484.385	
5,te_stridedsliced_78661c53c6f15ebd27cca498417f43e32bc5dfe500bb751b68608e85f3a8b720__kernel0,AI_VECTOR_CORE,45,64,26.380,1785400772460484.405	,1785400772460510.785	
5,te_stridedsliced_2cb7beccba7672394ce7ab139858abab3cc12be967f0dd3530291acfc0238610__kernel0,AI_VECTOR_CORE,45,65,25.560,1785400772460510.805	,1785400772460536.365	
5,te_stridedsliced_2850feaa556f4b08940ced06a740877931c9da60ea76854d5441b9f21e2f8dc6__kernel0,AI_VECTOR_CORE,45,66,23.980,1785400772460536.385	,1785400772460560.365	
5,te_stridedsliced_c40413228b373cdb37328775ce47cad491104122b01daeb85246517a742960cc__kernel0,AI_VECTOR_CORE,45,67,25.480,1785400772460560.405	,1785400772460585.885	
5,te_stridedsliced_a1f581da6fd305d490592cf828ccc0bcb7d2fe43362724460c096c4d4901099c__kernel0,AI_VECTOR_CORE,45,68,26.920,1785400772460585.905	,1785400772460612.825	
5,te_stridedsliced_70fbd80562c44fe285e35ff4c9735896e9f18c4bdbd7ec14309dd86468498c11__kernel0,AI_VECTOR_CORE,45,69,28.220,1785400772460612.845	,1785400772460641.065	
5,te_stridedsliced_6fec0d5c21a21931965814a00138e10a491cb5884cb940ca168e03244a4a58ec__kernel0,AI_VECTOR_CORE,45,70,24.800,1785400772460641.085	,1785400772460665.885	
5,te_stridedsliced_6d80dcd7a3e78ba8882b55352897a2103f7cf5ec68b1e97224de50e31a5163f4__kernel0,AI_VECTOR_CORE,45,71,24.960,1785400772460665.905	,1785400772460690.865	
5,te_stridedsliced_bc27152ebb03e8c397754804a27e35fa18216f5470cca69498e3c3aee2a953d0__kernel0,AI_VECTOR_CORE,45,72,24.980,1785400772460690.885	,1785400772460715.865	
5,te_stridedsliced_213cc425e1aa75eb0364da0034a58b35e934bc6c2bfe0d9bfabbd214489dde49__kernel0,AI_VECTOR_CORE,45,73,28.000,1785400772460715.905	,1785400772460743.905	
5,te_stridedsliced_3b362ca4ad7f886e94e03023351e308c28195375e317807fd9ac5ea6dba13542__kernel0,AI_VECTOR_CORE,45,74,28.540,1785400772460743.925	,1785400772460772.465	
5,te_stridedsliced_adf8a5675c6b33ab0c58b1ff65fee9e91b08caf9eef84d1e659682f1449e9c16__kernel0,AI_VECTOR_CORE,45,75,28.720,1785400772460772.485	,1785400772460801.205	
5,te_stridedsliced_868b520026e7e455cae5fb22b83cb6a69acf0a446568f33a06c63f912eb6c965__kernel0,AI_VECTOR_CORE,45,76,25.340,1785400772460801.245	,1785400772460826.585	
5,te_stridedsliced_05f03ecc8d1f8c0e54b64a78f9dd506e1612a6ec299bef39d38c024e828eb750__kernel0,AI_VECTOR_CORE,45,77,26.480,1785400772460826.625	,1785400772460853.105	
5,te_stridedsliced_90be8f2072efe128a9128ce320b8c0242a55d06476514c4f395d50146d592053__kernel0,AI_VECTOR_CORE,45,78,27.360,1785400772460853.125	,1785400772460880.485	
5,te_stridedsliced_e155495820cd620c1d6e3478ad9ca913d924c0c93821278efc28d6173213f8c9__kernel0,AI_VECTOR_CORE,45,79,28.540,1785400772460880.505	,1785400772460909.045	
5,te_stridedsliced_18ef888008f14efada485f9d683aeeababf50bc5b7eb967f2de028a326ff0881__kernel0,AI_VECTOR_CORE,45,80,27.860,1785400772460909.065	,1785400772460936.925	
5,te_stridedsliced_bedaf050879a3927bfae6c57480cc9f01a56c3c5d0eb07ec0d21b0787460fd50__kernel0,AI_VECTOR_CORE,45,81,27.580,1785400772460936.945	,1785400772460964.525	
5,te_stridedsliced_e47e2f444e56bef52ef7148015cd8aafd9e9e362c79f672fba9b5ea9d38c4099__kernel0,AI_VECTOR_CORE,45,82,25.500,1785400772460964.545	,1785400772460990.045	
5,te_stridedsliced_873c12b3acd66d3292c9a7fd03ff80999478a6d949b709bbdba669440ac8a9f6__kernel0,AI_VECTOR_CORE,45,83,28.060,1785400772460990.085	,1785400772461018.145	
5,te_stridedsliced_1f1ff361010b0f1cc0ebfb742c399fffecb4a687e495297614519dd5404b36c6__kernel0,AI_VECTOR_CORE,45,84,28.100,1785400772461018.165	,1785400772461046.265	
5,te_stridedsliced_bb8bc022ce8852d06e28c214faf9e9bcc734d3ecf45172bcba85fede53a47ba6__kernel0,AI_VECTOR_CORE,45,85,28.840,1785400772461046.285	,1785400772461075.125	
5,te_stridedsliced_d42c6b57ff2ca37be6050d750c14a303fd0f883c83d39befa372b135bfa1fd66__kernel0,AI_VECTOR_CORE,45,86,28.400,1785400772461075.145	,1785400772461103.545	
5,N/A,EVENT_WAIT,45,87,0.020,1785400772461103.565	,1785400772461103.585	
5,N/A,EVENT_RESET,45,88,0.080,1785400772461103.605	,1785400772461103.685	
5,te_concatd_39d6f4a71da0651115896aa3be6c4d9f26cad9b318ede8d258f6124aaf136ab1__kernel0,AI_VECTOR_CORE,45,89,8.360,1785400772461103.725	,1785400772461112.085	
5,te_expand_5048d24604c4bc1589d7bcb2c8bcb22aed64c94523ab27bbcba0a8b658720694__kernel0,AI_VECTOR_CORE,45,90,12.740,1785400772461112.105	,1785400772461124.845	
5,te_stridedsliced_af345d76413a6a9aaa0037fc697af8e8521f710695b8f14fe87528e251259e06__kernel0,AI_VECTOR_CORE,45,91,28.100,1785400772461124.865	,1785400772461152.965	
5,te_concatd_9c3ad382f53f18d03eb0afad5dba932ea3575822cf312aa31245efed5c0aa030__kernel0,AI_VECTOR_CORE,45,92,8.900,1785400772461152.985	,1785400772461161.885	
5,te_expand_5048d24604c4bc1589d7bcb2c8bcb22aed64c94523ab27bbcba0a8b658720694__kernel0,AI_VECTOR_CORE,45,93,6.640,1785400772461161.905	,1785400772461168.545	
5,te_batchmatmulv2_bbaed307a57d45d0ace88438c2699b145543e77140346ea93b693d31b9bdf9e9__kernel0,AI_CORE,45,94,10.420,1785400772461168.565	,1785400772461178.985	
